cui	drugbank_id
C0037982	DB00421
C0025810	DB00422
C1691676	DB00422
C0025659	DB00423
C0699926	DB00423
C4256071	DB00423
C0596004	DB00424
C0078839	DB00425
C0209227	DB00426
C0041098	DB00427
C0038432	DB00428
C0724450	DB00428
C0007047	DB00429
C0054721	DB00429
C0055010	DB00430
C0005038	DB00431
C0591692	DB00431
C0040987	DB00432
C0728765	DB00432
C0033229	DB00433
C4256065	DB00433
C4256066	DB00433
C0010620	DB00434
C0012267	DB00434
C4256063	DB00434
C4256064	DB00434
C0028128	DB00435
C0004975	DB00436
C0002144	DB00437
C0007559	DB00438
C2983899	DB00438
C0528023	DB00439
C0041041	DB00440
C0728764	DB00440
C0733453	DB00440
C0045093	DB00441
C0971023	DB00442
C2699999	DB00442
C0005308	DB00443
C4256061	DB00443
C0039512	DB00444
C0014582	DB00445
C0008168	DB00446
C0591251	DB00446
C0699300	DB00446
C0699301	DB00446
C0699305	DB00446
C4256053	DB00446
C4256054	DB00446
C4256055	DB00446
C4256056	DB00446
C4256057	DB00446
C4256058	DB00446
C4256059	DB00446
C4256060	DB00446
C0065295	DB00447
C1881444	DB00447
C0050940	DB00448
C0286036	DB00448
C0740025	DB00448
C1310658	DB00448
C1310661	DB00448
C1310662	DB00448
C4082278	DB00448
C4256049	DB00448
C4256050	DB00448
C4256051	DB00448
C4256052	DB00448
C0058415	DB00449
C0013136	DB00450
C0040165	DB00451
C0016673	DB00452
C0055923	DB00453
C0025376	DB00454
C4256045	DB00454
C4256046	DB00454
C4256047	DB00454
C4256048	DB00454
C0065180	DB00455
C0701055	DB00455
C0007735	DB00456
C0032912	DB00457
C0020934	DB00458
C0701353	DB00458
C4082435	DB00458
C4256043	DB00458
C4256044	DB00458
C0050559	DB00459
C0678135	DB00459
C4082602	DB00459
C0387288	DB00460
C0068334	DB00461
C0701331	DB00461
C0141756	DB00462
C0722436	DB00462
C0025629	DB00463
C0037556	DB00464
C0073631	DB00465
C0014310	DB00467
C0034417	DB00468
C0076096	DB00469
C0039663	DB00470
C0298130	DB00471
C0016365	DB00472
