cui	hgnc_id	symbol	entrez_id
C1332753	HGNC:1925	CHEK1	1111
C1332754	HGNC:1929	CHGA	1113
C1332755	HGNC:1930	CHGB	1114
C1332757	HGNC:1937	CHKA	1119
C1332758	HGNC:1950	CHRM1	1128
C1332759	HGNC:1952	CHRM3	1131
C1332760	HGNC:1953	CHRM4	1132
C1332761	HGNC:1954	CHRM5	1133
C1332762	HGNC:1984	CISH	1154
C1332763	HGNC:1991	CKB	1152
C1332764	HGNC:2016	CLCA2	9635
C1332765	HGNC:2014	CLC	1178
C1332766	HGNC:13518	CLIC4	25932
C1332767	HGNC:2121	CMKLR1	1240
C1332768	HGNC:19700	CNKSR1	10256
C1332770	HGNC:8011	CNTNAP1	8506
C1332771	HGNC:2195	COL18A1	80781
C1332772	HGNC:2197	COL1A1	1277
C1332773	HGNC:2198	COL1A2	1278
C1332774	HGNC:2204	COL4A3	1285
C1332775	HGNC:2208	COL4A6	1288
C1332776	HGNC:2285	COX6C	1345
C1332777	HGNC:2289	COX7A2L	9167
C1332778	HGNC:2320	CPNE7	27132
C1332780	HGNC:2350	CREBL2	1389
C1332781	HGNC:2370	MED14	9282
C1332782	HGNC:2372	MED23	9439
C1332784	HGNC:2375	MED17	9440
C1332785	HGNC:2376	MED26	9441
C1332786	HGNC:2377	MED27	9442
C1332787	HGNC:2378	MED7	9443
C1332788	HGNC:18292	CFC1	55997
C1332789	HGNC:2432	CSF1	1435
C1332790	HGNC:2436	CSF2RB	1439
C1332791	HGNC:2434	CSF2	1437
C1332792	HGNC:2439	CSF3R	1441
C1332793	HGNC:2438	CSF3	1440
C1332794	HGNC:2444	CSK	1445
C1332795	HGNC:2451	CSNK1A1	1452
C1332796	HGNC:2457	CSNK2A1	1457
C1332797	HGNC:2466	CSPG4	1464
C1332798	HGNC:2482	CSTB	1476
C1332799	HGNC:2494	CTBP1	1487
C1332800	HGNC:2495	CTBP2	1488
C1332801	HGNC:2499	CTF1	1489
C1332802	HGNC:2505	CTLA4	1493
C1332803	HGNC:2514	CTNNB1	1499
C1332804	HGNC:2527	CTSB	1508
C1332805	HGNC:2529	CTSD	1509
C1332806	HGNC:2535	CTSH	1512
C1332807	HGNC:2537	CTSL	1514
C1332808	HGNC:2547	CTSZ	1522
C1332809	HGNC:2551	CUL1	8454
C1332810	HGNC:2552	CUL2	8453
C1332811	HGNC:2553	CUL3	8452
C1332812	HGNC:2554	CUL4A	8451
C1332813	HGNC:2556	CUL5	8065
C1332814	HGNC:10647	CX3CL1	6376
C1332816	HGNC:10638	CXCL11	6373
C1332817	HGNC:10672	CXCL12	6387
C1332818	HGNC:10640	CXCL14	9547
C1332819	HGNC:10642	CXCL5	6374
C1332820	HGNC:10643	CXCL6	6372
C1332821	HGNC:7098	CXCL9	4283
C1332822	HGNC:4540	CXCR3	2833
C1332823	HGNC:2561	CXCR4	7852
C1332824	HGNC:16647	CXCR6	10663
C1332826	HGNC:2596	CYP1A2	1544
C1332828	HGNC:2621	CYP2C19	1557
C1332829	HGNC:2623	CYP2C9	1559
C1332830	HGNC:2625	CYP2D6	1565
C1333202	HGNC:2662	DAB2	1601
C1333203	HGNC:2681	DAXX	1616
C1333205	HGNC:2704	DCK	1633
C1333206	HGNC:2730	DDR1	780
C1333207	HGNC:2731	DDR2	4921
C1333208	HGNC:2739	DHX16	8449
C1333209	HGNC:2734	DDX1	1653
C1333210	HGNC:14879	INTS6	26512
C1333212	HGNC:23658	DEC1	50514
C1333213	HGNC:2766	DEFB1	1672
C1333214	HGNC:2768	DEK	7913
C1333216	HGNC:2861	DHFR	1719
C1333217	HGNC:2867	DHODH	1723
C1333218	HGNC:17098	DICER1	23405
C1333219	HGNC:2899	DLEC1	9940
C1333221	HGNC:13747	DLEU1	10301
C1333223	HGNC:13748	DLEU2	8847
C1333225	HGNC:2900	DLG1	1739
C1333226	HGNC:2903	DLG4	1742
C1333227	HGNC:2926	DMBT1	1755
C1333242	HGNC:2979	DNMT3B	1789
C1333243	HGNC:2983	DNTT	1791
C1333245	HGNC:2987	DOCK1	1793
C1333246	HGNC:2990	DOK1	1796
C1333247	HGNC:3017	DR1	1810
C1333248	HGNC:3019	DRAP1	10589
C1333250	HGNC:3020	DRD1	1812
C1333253	HGNC:3023	DRD2	1813
C1333254	HGNC:3025	DRD4	1815
C1333255	HGNC:3026	DRD5	1816
C1333256	HGNC:3060	DTX1	1840
C1333257	HGNC:3064	DUSP1	1843
C1333258	HGNC:3069	DUSP3	1845
C1333327	HGNC:3148	TYMP	1890
C1333329	HGNC:3177	EDN2	1907
C1333331	HGNC:3235	EGFL6	25975
C1333333	HGNC:3246	EHF	26298
C1333336	HGNC:3373	EP300	2033
C1333337	HGNC:3386	EPHA2	1969
C1333338	HGNC:3388	EPHA4	2043
C1333339	HGNC:3391	EPHA8	2046
C1333340	HGNC:3393	EPHB2	2048
C1333341	HGNC:3394	EPHB3	2049
C1333342	HGNC:3416	EPOR	2057
C1333343	HGNC:3419	EPS15	2060
