doid_id	doid_name	entrez_gene_id	gene_symbol	license	sources
DOID:2531	Hematologic cancer	2261	FGFR3	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	2268	FGR	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	2274	FHL2	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	2305	FOXM1	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	2308	FOXO1	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	2322	FLT3		DISEASES|DisGeNET
DOID:2531	Hematologic cancer	2335	FN1	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	2353	FOS	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	2475	MTOR	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	2524	FUT2	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	2526	FUT4	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	2623	GATA1		DISEASES|DisGeNET
DOID:2531	Hematologic cancer	2624	GATA2		DISEASES|DisGeNET
DOID:2531	Hematologic cancer	2625	GATA3		DisGeNET|GWAS Catalog
DOID:2531	Hematologic cancer	2629	GBA	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	2650	GCNT1	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	2651	GCNT2	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	2672	GFI1	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	2706	GJB2	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	2707	GJB3	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	2838	GPR15	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	2885	GRB2	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	2908	NR3C1	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	2944	GSTM1	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	2950	GSTP1	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	2952	GSTT1	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	2969	GTF2I	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	2993	GYPA	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	3002	GZMB	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	3005	H1F0	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	3006	HIST1H1C	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	3020	H3F3A	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	3021	H3F3B	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	3050	HBZ	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	3066	HDAC2	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	3067	HDC	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	3082	HGF	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	3105	HLA-A		DISEASES|DisGeNET
DOID:2531	Hematologic cancer	3106	HLA-B	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	3110	MNX1	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	3117	HLA-DQA1	CC BY 4.0	GWAS Catalog
DOID:2531	Hematologic cancer	3161	HMMR	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	3195	TLX1		DISEASES|DisGeNET
DOID:2531	Hematologic cancer	3205	HOXA9		DISEASES|DisGeNET
DOID:2531	Hematologic cancer	3240	HP	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	3265	HRAS	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	3280	HES1	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	3308	HSPA4	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	3309	HSPA5	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	3315	HSPB1	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	3320	HSP90AA1	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	3383	ICAM1	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	3394	IRF8	CC BY 4.0	DISEASES|GWAS Catalog
DOID:2531	Hematologic cancer	3398	ID2	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	3399	ID3	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	3417	IDH1	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	3418	IDH2	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	3439	IFNA1		DISEASES|DisGeNET
DOID:2531	Hematologic cancer	3440	IFNA2		DISEASES|DisGeNET
DOID:2531	Hematologic cancer	3458	IFNG		DISEASES|DisGeNET
DOID:2531	Hematologic cancer	3553	IL1B	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	3558	IL2		DISEASES|DisGeNET
DOID:2531	Hematologic cancer	3559	IL2RA	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	3562	IL3	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	3563	IL3RA	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	3565	IL4		DISEASES|DisGeNET
DOID:2531	Hematologic cancer	3569	IL6		DISEASES|DisGeNET
DOID:2531	Hematologic cancer	3570	IL6R	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	3574	IL7	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	3586	IL10		DISEASES|DisGeNET
DOID:2531	Hematologic cancer	3596	IL13	CC BY 4.0	GWAS Catalog
DOID:2531	Hematologic cancer	3600	IL15	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	3662	IRF4		DISEASES|DisGeNET|GWAS Catalog
DOID:2531	Hematologic cancer	3676	ITGA4	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	3681	ITGAD	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	3682	ITGAE	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	3683	ITGAL	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	3687	ITGAX	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	3713	IVL	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	3716	JAK1	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	3717	JAK2		DISEASES|DisGeNET|GWAS Catalog
DOID:2531	Hematologic cancer	3718	JAK3	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	3725	JUN	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	3727	JUND	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	3812	KIR3DL2	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	3815	KIT		DISEASES|DisGeNET
DOID:2531	Hematologic cancer	3845	KRAS		DISEASES|DisGeNET
DOID:2531	Hematologic cancer	3932	LCK	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	3981	LIG4	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	4004	LMO1		DISEASES|DisGeNET
DOID:2531	Hematologic cancer	4005	LMO2		DISEASES|DisGeNET
DOID:2531	Hematologic cancer	4026	LPP	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	4066	LYL1		DISEASES|DisGeNET
DOID:2531	Hematologic cancer	4068	SH2D1A	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	4069	LYZ	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	4094	MAF		DISEASES|DisGeNET
DOID:2531	Hematologic cancer	4170	MCL1		DISEASES|DisGeNET
DOID:2531	Hematologic cancer	4193	MDM2	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	4211	MEIS1	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	4233	MET	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	4254	KITLG	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	4255	MGMT	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	4267	CD99	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	4291	MLF1	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	4292	MLH1	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	4297	KMT2A	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	4298	MLLT1	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	4300	MLLT3	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	4311	MME	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	4330	MN1		DISEASES|DisGeNET
DOID:2531	Hematologic cancer	4352	MPL		DISEASES|DisGeNET
DOID:2531	Hematologic cancer	4353	MPO	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	4507	MTAP	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	4524	MTHFR		DISEASES|DisGeNET
DOID:2531	Hematologic cancer	4548	MTR	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	4582	MUC1	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	4599	MX1	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	4602	MYB		DISEASES|DisGeNET|GWAS Catalog
DOID:2531	Hematologic cancer	4605	MYBL2	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	4609	MYC		DISEASES|DisGeNET|GWAS Catalog
DOID:2531	Hematologic cancer	4629	MYH11		DISEASES|DisGeNET
DOID:2531	Hematologic cancer	4684	NCAM1	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	4763	NF1		DISEASES|DisGeNET
DOID:2531	Hematologic cancer	4792	NFKBIA		DISEASES|DisGeNET
DOID:2531	Hematologic cancer	4851	NOTCH1		DISEASES|DisGeNET
DOID:2531	Hematologic cancer	4869	NPM1		DISEASES|DisGeNET
DOID:2531	Hematologic cancer	4893	NRAS		DISEASES|DisGeNET
DOID:2531	Hematologic cancer	4928	NUP98		DISEASES|DisGeNET
DOID:2531	Hematologic cancer	4956	ODF1	CC BY 4.0	GWAS Catalog
DOID:2531	Hematologic cancer	4968	OGG1	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	4982	TNFRSF11B	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	5079	PAX5	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	5087	PBX1		DISEASES|DisGeNET
DOID:2531	Hematologic cancer	5091	PC	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	5142	PDE4B	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	5154	PDGFA	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	5155	PDGFB	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	5156	PDGFRA	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	5159	PDGFRB	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	5172	SLC26A4	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	5187	PER1	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	5243	ABCB1		DISEASES|DisGeNET
DOID:2531	Hematologic cancer	5264	PHYH	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	5290	PIK3CA	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	5291	PIK3CB	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	5293	PIK3CD	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	5294	PIK3CG	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	5295	PIK3R1	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	5358	PLS3	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	5366	PMAIP1	CC BY 4.0	DISEASES|GWAS Catalog
DOID:2531	Hematologic cancer	5371	PML	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	5444	PON1	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	5457	POU4F1	ODbL 1.0	DisGeNET
